publication,study,type,age,experience,treatment,treatment_duration,control,control_duration,meditation_pre,meditation_post,task,trials,alerting,orienting,extra,executive,descriptives,treatment1.n,treatment2.n,control.n,treatment1.pre.alerting.m,treatment1.pre.alerting.sd,treatment1.pre.orienting.m,treatment1.pre.orienting.sd,treatment1.pre.conflict.m,treatment1.pre.conflict.sd,control.pre.alerting.m,control.pre.alerting.sd,control.pre.orienting.m,control.pre.orienting.sd,control.pre.conflict.m,control.pre.conflict.sd,treatment1.post.alerting.m,treatment1.post.alerting.sd,treatment1.post.orienting.m,treatment1.post.orienting.sd,treatment1.post.conflict.m,treatment1.post.conflict.sd,control.post.alerting.m,control.post.alerting.sd,control.post.orienting.m,control.post.orienting.sd,control.post.conflict.m,control.post.conflict.sd
Ainsworth et al. (2013),,RCT,20.3,0,"FAM (24), OMM (25)",8 days; 3 * 1hr group training + 8 * 10m/day,Relaxation (27),8 days,NA,0,Emotional ANT,480,NC - DC,CC - SC,Don't delete this column. There's some hard-coding in the analysis that breaks if it's removed. Possibly now resolved since I started analysing results.csv,I - C,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
Becerra et al. (2016),,RCT,33.9,0,FAM (23),8 weeks; 4 * bi-weekly group sessions + 24m/day,Waitlist (23),8 weeks,NA,NI,ANT,288,NC - DC,CC - SC,,I - C,Y,23,,23,46.52,13.25,56.96,12.43,131.74,35.51,46.65,11.75,53.74,13.98,134.52,32.38,49.48,14.62,45.09,11.68,113.3,33.73,46.48,11.56,52.91,13.92,135.17,32.3
Burger and Lockhart (2017),,RCT,18-40 (69 \%),92\% little or none,MM (28),4 weeks; 10m/day,Waitlist (24),4 weeks,NI,NI,ANT,NA,NIa,NIa,,NIa,Y,28,,24,39.5,23.9,32.9,23.4,119.4,40.7,31.8,27.9,37.4,21.5,147.7,44.6,38.6,24.7,39.9,21.4,95.9,28.6,36,19.2,37.2,21,125.9,39.7
Elliott et al. (2014),,RCT,53.17,46.5-56.5 daily minutes; 40.7-44.3 retreat days,Samatha retreat (19),5-6 days,Samatha retreat (22),1-2 days,NA,NI,Modified ANT,NA,NA,"(a) reflexive: cue (valid, invalid) x congruency x SOA x group (b) volitional: cue (valid, invalid) x congruency x SOA x group",,(a) I-C (b) neutral cue RT ~ task x congruency x SOA x group ,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isbel and Mahar (2015),,CT,42.65,"Meditators=average 10 years, 8.1 hours/week. Non-meditators=0.",Meditators (23),NA,Non-meditators (21),NA,NI,NA,ANT,288,NC - DC,CC - SC,,I - C,Y,23,,21,35.81,22.64,71.24,28.42,117.87,34.83,41.55,23.03,70.49,22.44,117.06,38.5,,,,,,,,,,,,
Jha et al. (2007),,CT,"MBSR (24), Retreat (35), Control (22)","MBSR=0, Retreat=4-360 months, control=0","MBSR (17), Reteat (17)",MBSR: 8 weekly 3-hr group sessions + 59 * 30m/day; Retreat: 30 days * 10-12h/day,No mindfulness (17),0,"MBSR=NA, Control=NA, Retreat=NI",NI,ANT,288,NC - DC,CC - SC,,I - C,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jo et al. (2016),,CT,"Meditators (41), controls (40.8)","Meditators=aveage 13.1 years, 247.8 minutes/week. Non-meditators=0.",Meditators (20),NA,Age and gender matched controls (20),NA,NI,NA,ANT,288,NC - CC,CC - SC,,I - C,Y,20,,20,24.8,3.93,60.83,7.21,67.56,6.38,25.64,3.4,57.82,6.01,77.08,6,,,,,,,,,,,,
Kwak et al. (2020),,RCT,"MM (30.9), relaxation (31.43)",0,MM (23),19 hours over 4 days,Relaxation (14),4 days,NA,NI,ANT,210,NC - CC,CC - SC,,I - C,Y,23,,14,55.73,152.6471955,55.82,145.6609318,100.86,150.5868617,67.44,115.5089657,52.93,108.8685971,87.24,113.032967,59.71,110.597695,44.73,102.5054765,72.03,110.2688228,67.49,130.2333189,59.26,115.7561544,85.42,128.2135291
Norris et al. (2018),2,RCT,19.52,Minimal,Guided FAM (29),10m,Spoken word listening (27),10m,NI,0,ANT,288,NA,NA,,RT,N,29,,27,,,,,,,,,,,,,,,,,,,,,,,,
Otten et al. (2015),,CT,"Meditators (39.7), Controls (39.5)","Meditators: >= 3 years, >= 2 hours/week. Controls: 0",Meditators (22),NA,"Sex, age, education matched controls (22)",NA,NI,NA,ANT,NA,NIa,NIa,,NIa,Y,22,,22,,,,,,,,,,,,,,,,,,,,,,,,
Schanche et al. (2019),,NCT,23.12,0,MBCT (25),2 weeks. 3 * 2.5 hours + 6 hours + 1 hr / day.,NA,NA,NA,NI,ANT-R,288,NIb,NIb,,NIb,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
