p,group,pre.alerting,pre.orienting,pre.conflict
201,mindful,9,73,136
202,mindful,42,30,103
203,mindful,43,36,135
204,mindful,23,71,105
205,mindful,0,78,117
206,mindful,61,25,162
207,mindful,35,47,164
208,mindful,24,1,50
209,mindful,55,53,104
210,mindful,24,43,134
211,mindful,27,62,97
212,mindful,50,41,135
213,mindful,21,76,95
214,mindful,30,37,100
215,mindful,59,63,75
216,mindful,20,21,125
217,mindful,61,50,135
218,mindful,62,40,104
219,mindful,37,66,75
220,mindful,20,24,98
221,mindful,42,13,120
222,mindful,69,54,90
252,control,69,28,93
253,control,10,10,140
254,control,23,36,111
255,control,-11,48,140
256,control,27,79,101
257,control,23,54,148
258,control,32,46,121
259,control,34,58,120
260,control,92,117,132
261,control,-2,6,87
262,control,68,57,98
263,control,61,72,110
264,control,37,69,137
265,control,36,-28,100
266,control,-6,57,154
267,control,45,68,110
268,control,56,30,176
269,control,15,61,119
270,control,37,89,68
271,control,29,29,143
272,control,27,50,98
273,control,21,25,105
