"rt","key_press","block_duration","possible_responses","stim_duration","exp_stage","correct","correct_response","flanker_middle_direction","flanker_type","flanker_location","cue","trial_num","p","t","condition","experience","current","breath","group"
843,39,843,"37,39",843,"test","true",39,"right","congruent","down","center",1,"10","1","Control","Low","Low","HIgh","Reading"
880,39,880,"37,39",880,"test","true",39,"right","congruent","down","spatial",2,"10","1","Control","Low","Low","HIgh","Reading"
740,37,740,"37,39",740,"test","true",37,"left","congruent","down","center",3,"10","1","Control","Low","Low","HIgh","Reading"
775,39,775,"37,39",775,"test","true",39,"right","incongruent","down","center",4,"10","1","Control","Low","Low","HIgh","Reading"
864,37,864,"37,39",864,"test","true",37,"left","congruent","up","nocue",5,"10","1","Control","Low","Low","HIgh","Reading"
1040,37,1040,"37,39",1040,"test","true",37,"left","incongruent","up","double",6,"10","1","Control","Low","Low","HIgh","Reading"
834,39,834,"37,39",834,"test","true",39,"right","congruent","down","nocue",7,"10","1","Control","Low","Low","HIgh","Reading"
756,37,756,"37,39",756,"test","true",37,"left","neutral","up","double",8,"10","1","Control","Low","Low","HIgh","Reading"
811,37,811,"37,39",811,"test","true",37,"left","incongruent","up","nocue",9,"10","1","Control","Low","Low","HIgh","Reading"
629,37,629,"37,39",629,"test","true",37,"left","congruent","up","center",10,"10","1","Control","Low","Low","HIgh","Reading"
859,37,859,"37,39",859,"test","true",37,"left","incongruent","down","spatial",11,"10","1","Control","Low","Low","HIgh","Reading"
706,37,706,"37,39",706,"test","true",37,"left","incongruent","up","spatial",12,"10","1","Control","Low","Low","HIgh","Reading"
743,37,743,"37,39",743,"test","true",37,"left","neutral","up","spatial",13,"10","1","Control","Low","Low","HIgh","Reading"
896,39,896,"37,39",896,"test","true",39,"right","incongruent","up","double",14,"10","1","Control","Low","Low","HIgh","Reading"
849,37,849,"37,39",849,"test","true",37,"left","incongruent","up","center",15,"10","1","Control","Low","Low","HIgh","Reading"
839,39,839,"37,39",839,"test","true",39,"right","congruent","up","double",16,"10","1","Control","Low","Low","HIgh","Reading"
1238,39,1238,"37,39",1238,"test","true",39,"right","neutral","down","nocue",17,"10","1","Control","Low","Low","HIgh","Reading"
749,39,749,"37,39",749,"test","true",39,"right","neutral","up","center",18,"10","1","Control","Low","Low","HIgh","Reading"
754,37,754,"37,39",754,"test","true",37,"left","congruent","down","double",19,"10","1","Control","Low","Low","HIgh","Reading"
851,37,851,"37,39",851,"test","true",37,"left","neutral","down","center",20,"10","1","Control","Low","Low","HIgh","Reading"
723,37,723,"37,39",723,"test","true",37,"left","neutral","down","spatial",21,"10","1","Control","Low","Low","HIgh","Reading"
999,39,999,"37,39",999,"test","true",39,"right","incongruent","down","double",22,"10","1","Control","Low","Low","HIgh","Reading"
914,39,914,"37,39",914,"test","true",39,"right","incongruent","up","nocue",23,"10","1","Control","Low","Low","HIgh","Reading"
1073,37,1073,"37,39",1073,"test","true",37,"left","neutral","down","nocue",24,"10","1","Control","Low","Low","HIgh","Reading"
1005,39,1005,"37,39",1005,"test","true",39,"right","incongruent","up","center",25,"10","1","Control","Low","Low","HIgh","Reading"
856,37,856,"37,39",856,"test","true",37,"left","incongruent","down","double",26,"10","1","Control","Low","Low","HIgh","Reading"
813,39,813,"37,39",813,"test","true",39,"right","congruent","up","nocue",27,"10","1","Control","Low","Low","HIgh","Reading"
910,39,910,"37,39",910,"test","true",39,"right","congruent","up","spatial",28,"10","1","Control","Low","Low","HIgh","Reading"
836,37,836,"37,39",836,"test","true",37,"left","neutral","up","nocue",29,"10","1","Control","Low","Low","HIgh","Reading"
985,39,985,"37,39",985,"test","true",39,"right","neutral","up","spatial",30,"10","1","Control","Low","Low","HIgh","Reading"
747,39,747,"37,39",747,"test","true",39,"right","congruent","down","double",31,"10","1","Control","Low","Low","HIgh","Reading"
820,39,820,"37,39",820,"test","true",39,"right","incongruent","down","spatial",32,"10","1","Control","Low","Low","HIgh","Reading"
819,37,819,"37,39",819,"test","true",37,"left","congruent","up","double",33,"10","1","Control","Low","Low","HIgh","Reading"
884,37,884,"37,39",884,"test","true",37,"left","congruent","down","nocue",34,"10","1","Control","Low","Low","HIgh","Reading"
651,37,651,"37,39",651,"test","true",37,"left","neutral","down","double",35,"10","1","Control","Low","Low","HIgh","Reading"
1051,39,1051,"37,39",1051,"test","true",39,"right","neutral","down","center",36,"10","1","Control","Low","Low","HIgh","Reading"
750,39,750,"37,39",750,"test","true",39,"right","neutral","down","spatial",37,"10","1","Control","Low","Low","HIgh","Reading"
811,37,811,"37,39",811,"test","true",37,"left","neutral","up","center",38,"10","1","Control","Low","Low","HIgh","Reading"
1170,39,1170,"37,39",1170,"test","true",39,"right","incongruent","down","nocue",39,"10","1","Control","Low","Low","HIgh","Reading"
808,39,808,"37,39",808,"test","true",39,"right","incongruent","up","spatial",40,"10","1","Control","Low","Low","HIgh","Reading"
794,37,794,"37,39",794,"test","true",37,"left","congruent","down","spatial",41,"10","1","Control","Low","Low","HIgh","Reading"
906,37,906,"37,39",906,"test","true",37,"left","incongruent","down","nocue",42,"10","1","Control","Low","Low","HIgh","Reading"
877,39,877,"37,39",877,"test","true",39,"right","congruent","up","center",43,"10","1","Control","Low","Low","HIgh","Reading"
749,39,749,"37,39",749,"test","true",39,"right","neutral","down","double",44,"10","1","Control","Low","Low","HIgh","Reading"
880,37,880,"37,39",880,"test","true",37,"left","incongruent","down","center",45,"10","1","Control","Low","Low","HIgh","Reading"
1198,39,1198,"37,39",1198,"test","true",39,"right","neutral","up","double",46,"10","1","Control","Low","Low","HIgh","Reading"
699,39,699,"37,39",699,"test","true",39,"right","neutral","up","nocue",47,"10","1","Control","Low","Low","HIgh","Reading"
792,37,792,"37,39",792,"test","true",37,"left","congruent","up","spatial",48,"10","1","Control","Low","Low","HIgh","Reading"
990,39,990,"37,39",990,"test","true",39,"right","incongruent","up","double",49,"10","1","Control","Low","Low","HIgh","Reading"
949,39,949,"37,39",949,"test","true",39,"right","neutral","up","center",50,"10","1","Control","Low","Low","HIgh","Reading"
902,37,902,"37,39",902,"test","true",37,"left","congruent","up","double",51,"10","1","Control","Low","Low","HIgh","Reading"
754,37,754,"37,39",754,"test","true",37,"left","congruent","up","center",52,"10","1","Control","Low","Low","HIgh","Reading"
582,37,582,"37,39",582,"test","true",37,"left","congruent","up","spatial",53,"10","1","Control","Low","Low","HIgh","Reading"
942,39,942,"37,39",942,"test","true",39,"right","incongruent","down","spatial",54,"10","1","Control","Low","Low","HIgh","Reading"
926,39,926,"37,39",926,"test","true",39,"right","neutral","up","nocue",55,"10","1","Control","Low","Low","HIgh","Reading"
895,39,895,"37,39",895,"test","true",39,"right","incongruent","up","nocue",56,"10","1","Control","Low","Low","HIgh","Reading"
1009,37,1009,"37,39",1009,"test","true",37,"left","congruent","down","center",57,"10","1","Control","Low","Low","HIgh","Reading"
1180,37,1180,"37,39",1180,"test","true",37,"left","congruent","down","double",58,"10","1","Control","Low","Low","HIgh","Reading"
1197,37,1197,"37,39",1197,"test","true",37,"left","incongruent","up","double",59,"10","1","Control","Low","Low","HIgh","Reading"
1220,39,1220,"37,39",1220,"test","true",39,"right","congruent","up","center",60,"10","1","Control","Low","Low","HIgh","Reading"
1130,39,1130,"37,39",1130,"test","true",39,"right","incongruent","down","double",61,"10","1","Control","Low","Low","HIgh","Reading"
743,37,743,"37,39",743,"test","true",37,"left","incongruent","up","center",62,"10","1","Control","Low","Low","HIgh","Reading"
1186,39,1186,"37,39",1186,"test","true",39,"right","incongruent","down","nocue",63,"10","1","Control","Low","Low","HIgh","Reading"
864,39,864,"37,39",864,"test","true",39,"right","neutral","down","center",64,"10","1","Control","Low","Low","HIgh","Reading"
779,37,779,"37,39",779,"test","true",37,"left","neutral","up","double",65,"10","1","Control","Low","Low","HIgh","Reading"
1042,37,1042,"37,39",1042,"test","true",37,"left","neutral","down","center",66,"10","1","Control","Low","Low","HIgh","Reading"
1151,37,1151,"37,39",1151,"test","true",37,"left","incongruent","down","spatial",67,"10","1","Control","Low","Low","HIgh","Reading"
1196,39,1196,"37,39",1196,"test","true",39,"right","neutral","down","nocue",68,"10","1","Control","Low","Low","HIgh","Reading"
827,37,827,"37,39",827,"test","true",37,"left","neutral","down","double",70,"10","1","Control","Low","Low","HIgh","Reading"
817,39,817,"37,39",817,"test","true",39,"right","neutral","up","double",71,"10","1","Control","Low","Low","HIgh","Reading"
857,39,857,"37,39",857,"test","true",39,"right","incongruent","up","center",72,"10","1","Control","Low","Low","HIgh","Reading"
864,37,864,"37,39",864,"test","true",37,"left","neutral","down","spatial",73,"10","1","Control","Low","Low","HIgh","Reading"
864,39,864,"37,39",864,"test","true",39,"right","congruent","down","double",74,"10","1","Control","Low","Low","HIgh","Reading"
802,39,802,"37,39",802,"test","true",39,"right","incongruent","up","spatial",75,"10","1","Control","Low","Low","HIgh","Reading"
954,39,954,"37,39",954,"test","true",39,"right","neutral","down","double",76,"10","1","Control","Low","Low","HIgh","Reading"
933,39,933,"37,39",933,"test","true",39,"right","congruent","down","center",77,"10","1","Control","Low","Low","HIgh","Reading"
539,39,539,"37,39",539,"test","true",39,"right","neutral","down","spatial",78,"10","1","Control","Low","Low","HIgh","Reading"
1016,37,1016,"37,39",1016,"test","true",37,"left","incongruent","down","center",79,"10","1","Control","Low","Low","HIgh","Reading"
865,37,865,"37,39",865,"test","true",37,"left","congruent","up","nocue",80,"10","1","Control","Low","Low","HIgh","Reading"
675,37,675,"37,39",675,"test","true",37,"left","incongruent","up","spatial",81,"10","1","Control","Low","Low","HIgh","Reading"
924,37,924,"37,39",924,"test","true",37,"left","incongruent","down","nocue",82,"10","1","Control","Low","Low","HIgh","Reading"
1120,39,1120,"37,39",1120,"test","true",39,"right","incongruent","down","center",83,"10","1","Control","Low","Low","HIgh","Reading"
812,39,812,"37,39",812,"test","true",39,"right","congruent","down","spatial",84,"10","1","Control","Low","Low","HIgh","Reading"
1071,37,1071,"37,39",1071,"test","true",37,"left","incongruent","down","double",85,"10","1","Control","Low","Low","HIgh","Reading"
748,37,748,"37,39",748,"test","true",37,"left","neutral","up","spatial",86,"10","1","Control","Low","Low","HIgh","Reading"
1196,37,1196,"37,39",1196,"test","true",37,"left","congruent","down","nocue",87,"10","1","Control","Low","Low","HIgh","Reading"
910,39,910,"37,39",910,"test","true",39,"right","neutral","up","spatial",88,"10","1","Control","Low","Low","HIgh","Reading"
832,39,832,"37,39",832,"test","true",39,"right","congruent","up","double",89,"10","1","Control","Low","Low","HIgh","Reading"
727,37,727,"37,39",727,"test","true",37,"left","neutral","up","center",90,"10","1","Control","Low","Low","HIgh","Reading"
668,37,668,"37,39",668,"test","true",37,"left","incongruent","up","nocue",91,"10","1","Control","Low","Low","HIgh","Reading"
1189,37,1189,"37,39",1189,"test","true",37,"left","congruent","down","spatial",92,"10","1","Control","Low","Low","HIgh","Reading"
796,37,796,"37,39",796,"test","true",37,"left","neutral","up","nocue",93,"10","1","Control","Low","Low","HIgh","Reading"
814,37,814,"37,39",814,"test","true",37,"left","neutral","down","nocue",94,"10","1","Control","Low","Low","HIgh","Reading"
1202,39,1202,"37,39",1202,"test","true",39,"right","congruent","down","nocue",95,"10","1","Control","Low","Low","HIgh","Reading"
819,39,819,"37,39",819,"test","true",39,"right","congruent","up","spatial",96,"10","1","Control","Low","Low","HIgh","Reading"
840,39,840,"37,39",840,"test","true",39,"right","neutral","down","spatial",97,"10","1","Control","Low","Low","HIgh","Reading"
700,37,700,"37,39",700,"test","true",37,"left","incongruent","down","spatial",98,"10","1","Control","Low","Low","HIgh","Reading"
1201,37,1201,"37,39",1201,"test","true",37,"left","incongruent","up","nocue",99,"10","1","Control","Low","Low","HIgh","Reading"
694,39,694,"37,39",694,"test","true",39,"right","congruent","up","double",100,"10","1","Control","Low","Low","HIgh","Reading"
528,37,528,"37,39",528,"test","true",37,"left","incongruent","up","spatial",101,"10","1","Control","Low","Low","HIgh","Reading"
1137,39,1137,"37,39",1137,"test","true",39,"right","incongruent","up","double",102,"10","1","Control","Low","Low","HIgh","Reading"
575,37,575,"37,39",575,"test","true",37,"left","congruent","up","center",103,"10","1","Control","Low","Low","HIgh","Reading"
667,39,667,"37,39",667,"test","true",39,"right","neutral","up","double",104,"10","1","Control","Low","Low","HIgh","Reading"
806,37,806,"37,39",806,"test","true",37,"left","incongruent","up","double",105,"10","1","Control","Low","Low","HIgh","Reading"
1109,37,1109,"37,39",1109,"test","true",37,"left","congruent","down","double",106,"10","1","Control","Low","Low","HIgh","Reading"
1103,39,1103,"37,39",1103,"test","true",39,"right","incongruent","down","center",107,"10","1","Control","Low","Low","HIgh","Reading"
907,37,907,"37,39",907,"test","true",37,"left","neutral","down","nocue",108,"10","1","Control","Low","Low","HIgh","Reading"
742,39,742,"37,39",742,"test","true",39,"right","congruent","down","center",109,"10","1","Control","Low","Low","HIgh","Reading"
968,37,968,"37,39",968,"test","true",37,"left","neutral","down","double",110,"10","1","Control","Low","Low","HIgh","Reading"
599,37,599,"37,39",599,"test","true",37,"left","neutral","down","spatial",111,"10","1","Control","Low","Low","HIgh","Reading"
817,39,817,"37,39",817,"test","true",39,"right","neutral","down","double",112,"10","1","Control","Low","Low","HIgh","Reading"
