"p","t","trial_num","rt","block_duration","full_screen","focus_shifts","stim_duration","correct","correct_response","flanker_middle_direction","flanker_type","flanker_location","cue","group"
"1","1",1,613,613,TRUE,0,613,TRUE,37,"left","congruent","down","center","FAM"
"1","1",2,602,602,TRUE,0,602,TRUE,37,"left","neutral","down","double","FAM"
"1","1",3,520,520,TRUE,0,520,TRUE,37,"left","incongruent","down","spatial","FAM"
"1","1",4,661,661,TRUE,0,661,TRUE,37,"left","incongruent","up","double","FAM"
"1","1",5,705,705,TRUE,0,705,TRUE,37,"left","incongruent","up","nocue","FAM"
"1","1",6,650,650,TRUE,0,650,TRUE,39,"right","congruent","up","spatial","FAM"
"1","1",7,791,791,TRUE,0,791,TRUE,37,"left","congruent","down","double","FAM"
"1","1",8,758,758,TRUE,0,758,TRUE,39,"right","neutral","up","nocue","FAM"
"1","1",9,640,640,TRUE,0,640,TRUE,39,"right","neutral","up","double","FAM"
"1","1",10,543,543,TRUE,0,543,TRUE,37,"left","neutral","down","spatial","FAM"
"1","1",11,707,707,TRUE,0,707,TRUE,39,"right","incongruent","down","center","FAM"
"1","1",12,614,614,TRUE,0,614,TRUE,37,"left","congruent","up","center","FAM"
"1","1",13,571,571,TRUE,0,571,TRUE,37,"left","incongruent","up","spatial","FAM"
"1","1",14,459,459,TRUE,0,459,TRUE,37,"left","neutral","up","spatial","FAM"
"1","1",15,674,674,TRUE,0,674,TRUE,39,"right","incongruent","up","center","FAM"
"1","1",16,651,651,TRUE,0,651,TRUE,37,"left","congruent","down","spatial","FAM"
"1","1",17,801,801,TRUE,0,801,TRUE,37,"left","incongruent","down","center","FAM"
"1","1",18,616,616,TRUE,0,616,TRUE,37,"left","incongruent","up","center","FAM"
"1","1",19,698,698,TRUE,0,698,TRUE,37,"left","neutral","up","nocue","FAM"
"1","1",20,636,636,TRUE,0,636,TRUE,39,"right","congruent","up","double","FAM"
"1","1",21,649,649,TRUE,0,649,TRUE,39,"right","congruent","up","center","FAM"
"1","1",22,684,684,TRUE,0,684,TRUE,39,"right","congruent","down","spatial","FAM"
"1","1",23,507,507,TRUE,0,507,TRUE,39,"right","neutral","down","spatial","FAM"
"1","1",24,625,625,TRUE,0,625,TRUE,39,"right","congruent","down","center","FAM"
"1","1",25,485,485,TRUE,0,485,TRUE,39,"right","incongruent","up","spatial","FAM"
"1","1",26,707,707,TRUE,0,707,TRUE,37,"left","congruent","up","nocue","FAM"
"1","1",27,780,780,TRUE,0,780,TRUE,37,"left","incongruent","down","nocue","FAM"
"1","1",28,774,774,TRUE,0,774,TRUE,39,"right","incongruent","down","double","FAM"
"1","1",29,668,668,TRUE,0,668,TRUE,39,"right","congruent","up","nocue","FAM"
"1","1",30,686,686,TRUE,0,686,TRUE,39,"right","congruent","down","double","FAM"
"1","1",31,672,672,TRUE,0,672,TRUE,39,"right","congruent","down","nocue","FAM"
"1","1",32,698,698,TRUE,0,698,TRUE,37,"left","congruent","up","double","FAM"
"1","1",33,726,726,TRUE,0,726,TRUE,37,"left","congruent","down","nocue","FAM"
"1","1",35,937,937,TRUE,0,937,TRUE,37,"left","incongruent","down","double","FAM"
"1","1",36,883,883,TRUE,0,883,TRUE,37,"left","neutral","down","nocue","FAM"
"1","1",37,663,663,TRUE,0,663,TRUE,39,"right","neutral","down","double","FAM"
"1","1",38,818,818,TRUE,0,818,TRUE,39,"right","incongruent","up","nocue","FAM"
"1","1",39,640,640,TRUE,0,640,TRUE,39,"right","incongruent","up","double","FAM"
"1","1",40,665,665,TRUE,0,665,TRUE,39,"right","neutral","down","center","FAM"
"1","1",41,773,773,TRUE,0,773,TRUE,37,"left","neutral","up","double","FAM"
"1","1",42,673,673,TRUE,0,673,TRUE,37,"left","neutral","down","center","FAM"
"1","1",43,671,671,TRUE,0,671,TRUE,37,"left","congruent","up","spatial","FAM"
"1","1",44,813,813,TRUE,0,813,TRUE,39,"right","neutral","up","center","FAM"
"1","1",45,606,606,TRUE,0,606,TRUE,37,"left","neutral","up","center","FAM"
"1","1",46,658,658,TRUE,0,658,TRUE,39,"right","neutral","down","nocue","FAM"
"1","1",47,657,657,TRUE,0,657,TRUE,39,"right","neutral","up","spatial","FAM"
"1","1",48,584,584,TRUE,0,584,TRUE,39,"right","incongruent","down","spatial","FAM"
"1","1",49,869,869,TRUE,0,869,TRUE,37,"left","incongruent","up","double","FAM"
"1","1",50,641,641,TRUE,0,641,TRUE,39,"right","incongruent","up","double","FAM"
"1","1",51,676,676,TRUE,0,676,TRUE,39,"right","incongruent","down","spatial","FAM"
"1","1",52,603,603,TRUE,0,603,TRUE,39,"right","neutral","up","spatial","FAM"
"1","1",53,454,454,TRUE,0,454,TRUE,39,"right","congruent","up","spatial","FAM"
"1","1",54,639,639,TRUE,0,639,TRUE,39,"right","congruent","up","nocue","FAM"
"1","1",55,513,513,TRUE,0,513,TRUE,39,"right","neutral","down","spatial","FAM"
"1","1",56,698,698,TRUE,0,698,TRUE,39,"right","incongruent","up","nocue","FAM"
"1","1",57,680,680,TRUE,0,680,TRUE,37,"left","neutral","down","center","FAM"
"1","1",58,627,627,TRUE,0,627,TRUE,39,"right","congruent","down","nocue","FAM"
"1","1",59,482,482,TRUE,0,482,TRUE,39,"right","congruent","down","double","FAM"
"1","1",60,543,543,TRUE,0,543,TRUE,37,"left","neutral","down","spatial","FAM"
"1","1",61,746,746,TRUE,0,746,TRUE,37,"left","congruent","down","nocue","FAM"
"1","1",62,619,619,TRUE,0,619,TRUE,39,"right","neutral","up","center","FAM"
"1","1",63,638,638,TRUE,0,638,TRUE,39,"right","congruent","down","center","FAM"
"1","1",64,525,525,TRUE,0,525,TRUE,37,"left","congruent","up","spatial","FAM"
"1","1",65,532,532,TRUE,0,532,TRUE,39,"right","neutral","up","nocue","FAM"
"1","1",66,782,782,TRUE,0,782,TRUE,37,"left","incongruent","up","nocue","FAM"
"1","1",67,620,620,TRUE,0,620,TRUE,37,"left","congruent","up","nocue","FAM"
"1","1",68,568,568,TRUE,0,568,TRUE,37,"left","neutral","up","nocue","FAM"
"1","1",69,569,569,TRUE,0,569,TRUE,37,"left","incongruent","up","spatial","FAM"
"1","1",70,893,893,TRUE,0,893,TRUE,39,"right","incongruent","down","center","FAM"
"1","1",71,639,639,TRUE,0,639,TRUE,39,"right","neutral","down","center","FAM"
"1","1",72,508,508,TRUE,0,508,TRUE,37,"left","neutral","up","spatial","FAM"
"1","1",73,669,669,TRUE,0,669,TRUE,37,"left","congruent","down","double","FAM"
"1","1",74,631,631,TRUE,0,631,TRUE,37,"left","neutral","up","double","FAM"
"1","1",76,687,687,TRUE,0,687,TRUE,37,"left","incongruent","down","double","FAM"
"1","1",77,614,614,TRUE,0,614,TRUE,39,"right","congruent","up","double","FAM"
"1","1",78,533,533,TRUE,0,533,TRUE,37,"left","congruent","down","spatial","FAM"
"1","1",79,648,648,TRUE,0,648,TRUE,37,"left","congruent","up","double","FAM"
"1","1",80,729,729,TRUE,0,729,TRUE,37,"left","neutral","down","nocue","FAM"
"1","1",81,756,756,TRUE,0,756,TRUE,37,"left","incongruent","down","spatial","FAM"
"1","1",82,718,718,TRUE,0,718,TRUE,37,"left","congruent","up","center","FAM"
"1","1",83,523,523,TRUE,0,523,TRUE,39,"right","neutral","up","double","FAM"
"1","1",84,509,509,TRUE,0,509,TRUE,39,"right","congruent","down","spatial","FAM"
"1","1",85,656,656,TRUE,0,656,TRUE,37,"left","congruent","down","center","FAM"
"1","1",86,933,933,TRUE,0,933,TRUE,37,"left","incongruent","down","nocue","FAM"
"1","1",87,577,577,TRUE,0,577,TRUE,37,"left","neutral","up","center","FAM"
"1","1",88,675,675,TRUE,0,675,TRUE,37,"left","incongruent","up","center","FAM"
"1","1",90,635,635,TRUE,0,635,TRUE,39,"right","incongruent","up","center","FAM"
"1","1",91,745,745,TRUE,0,745,TRUE,37,"left","neutral","down","double","FAM"
"1","1",92,567,567,TRUE,0,567,TRUE,39,"right","incongruent","up","spatial","FAM"
"1","1",93,754,754,TRUE,0,754,TRUE,39,"right","neutral","down","nocue","FAM"
"1","1",94,772,772,TRUE,0,772,TRUE,39,"right","incongruent","down","double","FAM"
"1","1",95,807,807,TRUE,0,807,TRUE,37,"left","incongruent","down","center","FAM"
"1","1",96,655,655,TRUE,0,655,TRUE,39,"right","neutral","down","double","FAM"
"1","1",97,722,722,TRUE,0,722,TRUE,37,"left","neutral","down","nocue","FAM"
"1","1",98,720,720,TRUE,0,720,TRUE,39,"right","incongruent","down","nocue","FAM"
"1","1",99,538,538,TRUE,0,538,TRUE,39,"right","neutral","up","double","FAM"
"1","1",100,722,722,TRUE,0,722,TRUE,37,"left","incongruent","down","center","FAM"
"1","1",101,628,628,TRUE,0,628,TRUE,37,"left","incongruent","up","center","FAM"
"1","1",102,484,484,TRUE,0,484,TRUE,37,"left","neutral","up","spatial","FAM"
"1","1",103,799,799,TRUE,0,799,TRUE,39,"right","incongruent","up","center","FAM"
"1","1",104,758,758,TRUE,0,758,TRUE,37,"left","incongruent","down","double","FAM"
"1","1",105,839,839,TRUE,0,839,TRUE,37,"left","incongruent","down","nocue","FAM"
"1","1",106,607,607,TRUE,0,607,TRUE,37,"left","congruent","up","double","FAM"
"1","1",107,676,676,TRUE,0,676,TRUE,37,"left","congruent","up","spatial","FAM"
"1","1",108,758,758,TRUE,0,758,TRUE,39,"right","incongruent","up","spatial","FAM"
"1","1",109,704,704,TRUE,0,704,TRUE,37,"left","neutral","up","nocue","FAM"
"1","1",110,710,710,TRUE,0,710,TRUE,37,"left","congruent","down","center","FAM"
"1","1",111,679,679,TRUE,0,679,TRUE,39,"right","incongruent","down","spatial","FAM"
"1","1",112,708,708,TRUE,0,708,TRUE,37,"left","incongruent","up","nocue","FAM"
"1","1",113,560,560,TRUE,0,560,TRUE,37,"left","incongruent","down","spatial","FAM"
"1","1",114,492,492,TRUE,0,492,TRUE,37,"left","incongruent","up","spatial","FAM"
"1","1",115,572,572,TRUE,0,572,TRUE,39,"right","congruent","up","center","FAM"
"1","1",116,647,647,TRUE,0,647,TRUE,39,"right","incongruent","up","double","FAM"
"1","1",117,626,626,TRUE,0,626,TRUE,39,"right","neutral","up","center","FAM"
"1","1",118,644,644,TRUE,0,644,TRUE,39,"right","congruent","up","nocue","FAM"
"1","1",119,685,685,TRUE,0,685,TRUE,39,"right","neutral","down","double","FAM"
"1","1",120,813,813,TRUE,0,813,TRUE,37,"left","neutral","down","double","FAM"
"1","1",121,556,556,TRUE,0,556,TRUE,37,"left","neutral","up","center","FAM"
"1","1",122,725,725,TRUE,0,725,TRUE,39,"right","neutral","down","center","FAM"
"1","1",123,698,698,TRUE,0,698,TRUE,39,"right","neutral","down","nocue","FAM"
"1","1",124,629,629,TRUE,0,629,TRUE,39,"right","congruent","down","center","FAM"
"1","1",125,727,727,TRUE,0,727,TRUE,37,"left","congruent","down","nocue","FAM"
"1","1",126,594,594,TRUE,0,594,TRUE,37,"left","congruent","down","spatial","FAM"
"1","1",127,671,671,TRUE,0,671,TRUE,39,"right","congruent","down","double","FAM"
"1","1",128,765,765,TRUE,0,765,TRUE,39,"right","congruent","up","double","FAM"
"1","1",129,488,488,TRUE,0,488,TRUE,39,"right","congruent","down","spatial","FAM"
