study,p,group,t,trial_num,rt,block_duration,stim_duration,correct,correct_response,flanker_middle_direction,flanker_type,flanker_location,cue
1,s1p1,meditation,1,1,644,644,644,true,39,right,neutral,down,double
1,s1p1,meditation,1,2,865,865,865,true,37,left,neutral,up,center
1,s1p1,meditation,1,3,536,536,536,true,37,left,congruent,down,spatial
1,s1p1,meditation,1,4,777,777,777,true,39,right,incongruent,up,center
1,s1p1,meditation,1,5,679,679,679,true,37,left,incongruent,up,double
1,s1p1,meditation,1,6,681,681,681,true,39,right,congruent,up,center
1,s1p1,meditation,1,7,789,789,789,true,37,left,congruent,up,spatial
1,s1p1,meditation,1,8,772,772,772,true,37,left,congruent,down,nocue
1,s1p1,meditation,1,9,714,714,714,true,39,right,congruent,down,nocue
1,s1p1,meditation,1,10,546,546,546,true,39,right,congruent,down,spatial
1,s1p1,meditation,1,11,615,615,615,true,39,right,incongruent,up,spatial
1,s1p1,meditation,1,12,537,537,537,true,39,right,congruent,up,spatial
1,s1p1,meditation,1,13,677,677,677,true,37,left,congruent,up,double
1,s1p1,meditation,1,14,829,829,829,true,39,right,incongruent,up,nocue
1,s1p1,meditation,1,15,678,678,678,true,39,right,congruent,down,center
1,s1p1,meditation,1,16,529,529,529,true,39,right,neutral,up,spatial
1,s1p1,meditation,1,17,660,660,660,true,39,right,congruent,up,double
1,s1p1,meditation,1,18,865,865,865,true,37,left,neutral,down,nocue
1,s1p1,meditation,1,19,653,653,653,true,37,left,neutral,down,spatial
1,s1p1,meditation,1,20,866,866,866,true,37,left,incongruent,down,nocue
1,s1p1,meditation,1,21,772,772,772,true,39,right,neutral,up,double
1,s1p1,meditation,1,22,786,786,786,true,37,left,incongruent,up,nocue
1,s1p1,meditation,1,23,678,678,678,true,37,left,congruent,down,center
1,s1p1,meditation,1,24,712,712,712,true,37,left,congruent,up,center
1,s1p1,meditation,1,25,654,654,654,true,37,left,congruent,down,double
1,s1p1,meditation,1,26,791,791,791,true,39,right,neutral,up,nocue
1,s1p1,meditation,1,27,848,848,848,true,39,right,incongruent,down,center
1,s1p1,meditation,1,28,807,807,807,true,37,left,neutral,down,double
1,s1p1,meditation,1,29,775,775,775,true,39,right,congruent,up,nocue
1,s1p1,meditation,1,30,799,799,799,true,37,left,neutral,up,double
1,s1p1,meditation,1,31,625,625,625,true,39,right,neutral,down,spatial
1,s1p1,meditation,1,32,653,653,653,true,37,left,incongruent,down,double
1,s1p1,meditation,1,33,758,758,758,true,39,right,incongruent,up,double
1,s1p1,meditation,1,34,735,735,735,true,39,right,incongruent,down,double
1,s1p1,meditation,1,35,656,656,656,true,39,right,neutral,down,nocue
1,s1p1,meditation,1,36,650,650,650,true,39,right,neutral,down,center
1,s1p1,meditation,1,37,568,568,568,true,39,right,congruent,down,double
1,s1p1,meditation,1,38,818,818,818,true,39,right,neutral,up,center
1,s1p1,meditation,1,39,687,687,687,true,37,left,neutral,up,spatial
1,s1p1,meditation,1,40,670,670,670,true,37,left,incongruent,up,spatial
1,s1p1,meditation,1,41,809,809,809,true,37,left,neutral,up,nocue
1,s1p1,meditation,1,42,714,714,714,true,37,left,incongruent,up,center
1,s1p1,meditation,1,43,644,644,644,true,37,left,congruent,up,nocue
1,s1p1,meditation,1,44,816,816,816,true,39,right,incongruent,down,spatial
