p,group,t,trial_num,rt,correct,cue,flanker_middle_direction,flanker_type,flanker_location,block_duration,stim_duration,exp_stage,key_press,correct_response,full_screen,focus_shifts
45,mt,1,1,608,TRUE,center,left,incongruent,down,608,608,test,37,37,TRUE,0
45,mt,1,2,498,TRUE,center,right,congruent,down,498,498,test,39,39,TRUE,0
45,mt,1,3,415,TRUE,double,right,neutral,down,415,415,test,39,39,TRUE,0
45,mt,1,4,484,TRUE,nocue,right,congruent,down,484,484,test,39,39,TRUE,0
45,mt,1,5,635,TRUE,nocue,right,neutral,up,635,635,test,39,39,TRUE,0
45,mt,1,6,605,TRUE,nocue,left,incongruent,up,605,605,test,37,37,TRUE,0
45,mt,1,7,453,TRUE,double,left,congruent,down,453,453,test,37,37,TRUE,0
45,mt,1,8,545,TRUE,nocue,left,congruent,up,545,545,test,37,37,TRUE,0
45,mt,1,9,521,TRUE,double,left,neutral,up,521,521,test,37,37,TRUE,0
45,mt,1,10,724,TRUE,spatial,left,incongruent,up,724,724,test,37,37,TRUE,0
45,mt,1,11,461,TRUE,spatial,right,congruent,down,461,461,test,39,39,TRUE,0
45,mt,1,12,510,TRUE,spatial,left,incongruent,down,510,510,test,37,37,TRUE,0
45,mt,1,13,559,TRUE,center,right,congruent,up,559,559,test,39,39,TRUE,0
45,mt,1,14,613,TRUE,center,right,incongruent,up,613,613,test,39,39,TRUE,0
45,mt,1,15,432,TRUE,spatial,right,incongruent,up,432,432,test,39,39,TRUE,0
45,mt,1,16,575,TRUE,center,left,incongruent,up,575,575,test,37,37,TRUE,0
45,mt,1,17,593,TRUE,double,left,incongruent,down,593,593,test,37,37,TRUE,0
45,mt,1,18,417,TRUE,double,left,congruent,up,417,417,test,37,37,TRUE,0
45,mt,1,19,483,TRUE,double,left,neutral,down,483,483,test,37,37,TRUE,0
45,mt,1,20,402,TRUE,spatial,left,neutral,up,402,402,test,37,37,TRUE,0
45,mt,1,21,550,TRUE,spatial,right,incongruent,down,550,550,test,39,39,TRUE,0
45,mt,1,22,445,TRUE,double,right,congruent,up,445,445,test,39,39,TRUE,0
45,mt,1,23,655,TRUE,double,right,neutral,up,655,655,test,39,39,TRUE,0
45,mt,1,24,437,TRUE,nocue,left,neutral,up,437,437,test,37,37,TRUE,0
45,mt,1,25,489,TRUE,double,right,congruent,down,489,489,test,39,39,TRUE,0
45,mt,1,26,597,TRUE,nocue,left,neutral,down,597,597,test,37,37,TRUE,0
